"","X","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_completion_white_black","gap_completion_white_hisp","gap_completion_white_asian","gap_completion_white_aian","gap_completion_white_nhpi","gap_completion_white_2mor","gap_completion_white_nra","gap_completion_white_unkn","gap_earnings_high_low","gap_earnings_high_mid"
"1032",1032,"Elgin Community College",1,2273,7761,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,3500,4262,31200,36000,41900,NA,NA,NA,NA,NA,NA,NA,NA,0.255369928400955,0.140811455847255
"1033",1033,"Elmhurst College",2,14872,8231,0.7483,0.7368,0.6538,0.7619,1,0,0.5714,0.4286,1,16250,19324,17633.5,47500,51900,51400,0.0115,0.0944999999999999,-0.0136000000000001,-0.2517,0.7483,0.1769,0.3197,-0.2517,0.075875486381323,-0.00972762645914397
"1034",1034,"Eureka College",2,13716,6400,0.552,0,0.3333,0.3333,0,NA,NA,1,0.6429,21000,19977,18688,35900,38900,43300,0.552,0.2187,0.2187,0.552,NA,NA,-0.448,-0.0909,0.170900692840647,0.10161662817552
"1035",1035,"First Institute Inc",3,9586,1512,NA,NA,NA,NA,NA,NA,NA,NA,NA,8735,8994,6212.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036",1036,"Fox College",3,20131,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,10908,12274,12766.5,31700,35600,36200,NA,NA,NA,NA,NA,NA,NA,NA,0.124309392265193,0.0165745856353591
"1037",1037,"Garrett-Evangelical Theological Seminary",2,6784,18050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038",1038,"Gem City College",3,7616,5540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1039",1039,"Governors State University",1,7798,14573,NA,NA,NA,NA,NA,NA,NA,NA,NA,12891,12500,12421,40100,45000,53200,NA,NA,NA,NA,NA,NA,NA,NA,0.246240601503759,0.154135338345865
"1040",1040,"Graham Hospital School of Nursing",2,13070,13687,NA,NA,NA,NA,NA,NA,NA,NA,NA,9625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041",1041,"Greenville College",2,11475,7370,0.4881,0.3846,0.8,0,1,NA,0.75,1,0,12500,15500,15184,32900,40600,42000,0.1035,-0.3119,0.4881,-0.5119,NA,-0.2619,-0.5119,0.4881,0.216666666666667,0.0333333333333333
"1042",1042,"Hair Professionals Academy of Cosmetology",3,12590,4861,NA,NA,NA,NA,NA,NA,NA,NA,NA,6053,6333,6333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1043",1043,"Hair Professionals Career College",3,5252,2984,NA,NA,NA,NA,NA,NA,NA,NA,NA,7917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044",1044,"Hair Professionals School of Cosmetology",3,6582,2272,NA,NA,NA,NA,NA,NA,NA,NA,NA,10160.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045",1045,"Harrington College of Design",3,22880,9866,0.527,0.1818,0.2105,0.3333,NA,NA,NA,NA,0,23875,27500,25999,30700,44500,41200,0.3452,0.3165,0.1937,NA,NA,NA,NA,0.527,0.254854368932039,-0.0800970873786408
"1046",1046,"Hebrew Theological College",2,4161,7838,0.0613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,29900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1047",1047,"Highland Community College",1,2486,6938,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,4137,4500,27300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048",1048,"Rosalind Franklin University of Medicine and Science",2,32781,17456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1049",1049,"University of Illinois at Chicago",1,11629,26053,0.6205,0.4341,0.5607,0.6529,0.5,NA,NA,0.7105,0.6016,13595,13750,16750,69700,56400,57400,0.1864,0.0598000000000001,-0.0324,0.1205,NA,NA,-0.09,0.0189,-0.214285714285714,0.0174216027874564
"1050",1050,"Benedictine University",2,11503,6646,0.5563,0.4737,0.3696,0.5333,0.6667,0.25,NA,0.7692,0.4684,15644,17000,13500,49700,57000,55800,0.0826,0.1867,0.023,-0.1104,0.3063,NA,-0.2129,0.0879,0.109318996415771,-0.021505376344086
"1051",1051,"Illinois College of Optometry",2,36925,17132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1052",1052,"University of Illinois at Urbana-Champaign",1,13826,13924,0.8723,0.7469,0.7996,0.8647,0.6429,0.8,0.8099,0.7269,0.6923,17000,19500,19445,60800,62800,68000,0.1254,0.0727,0.00759999999999994,0.2294,0.0722999999999999,0.0624,0.1454,0.18,0.105882352941176,0.0764705882352941
"1053",1053,"Illinois Wesleyan University",2,19599,16167,0.8197,0.5882,0.5556,0.8182,1,NA,1,0.871,0.8947,28500,27000,23250,NA,NA,61500,0.2315,0.2641,0.00149999999999995,-0.1803,NA,-0.1803,-0.0513,-0.0750000000000001,NA,NA
"1054",1054,"Illinois Central College",1,3253,4558,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,4500,3500,29800,37100,43300,NA,NA,NA,NA,NA,NA,NA,NA,0.311778290993072,0.143187066974596
"1055",1055,"Illinois College",2,10823,9587,0.7868,0.5,0.8,NA,1,NA,0.7,1,0,15000,23750,19945,39600,37800,44000,0.2868,-0.0132,NA,-0.2132,NA,0.0868000000000001,-0.2132,0.7868,0.1,0.140909090909091
"1056",1056,"Olney Central College",1,812,3651,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,3500,4500,26100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057",1057,"Illinois Institute of Technology",2,19025,12262,0.7071,0.5556,0.66,0.5286,0.25,0.4,1,0.6265,0.7273,26187,23000,20500,83000,77900,68900,0.1515,0.0470999999999999,0.1785,0.4571,0.3071,-0.2929,0.0806,-0.0202,-0.204644412191582,-0.130624092888244
"1058",1058,"Argosy University-Chicago",3,15944,6177,0.6667,0,1,0.3333,NA,NA,NA,NA,0.3333,9500,12667,12500,40500,41300,42800,0.6667,-0.3333,0.3334,NA,NA,NA,NA,0.3334,0.0537383177570093,0.0350467289719626
"1059",1059,"Illinois State University",1,9747,9858,0.734,0.5676,0.6275,0.6375,0.7647,NA,NA,0.8,0.7706,17439,18131,18250,45300,47500,50700,0.1664,0.1065,0.0965,-0.0307000000000001,NA,NA,-0.0660000000000001,-0.0366,0.106508875739645,0.0631163708086785
"1060",1060,"Illinois Valley Community College",1,1911,4562,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,5000,4550,29600,35800,35600,NA,NA,NA,NA,NA,NA,NA,NA,0.168539325842697,-0.00561797752808989
"1061",1061,"Institute for Clinical Social Work",2,28158,7623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1062",1062,"Sanford-Brown College-Chicago",3,22630,12669,0.2951,0.0864,0.16,0.375,0.25,NA,0.1429,NA,0,33631,41000,36126,25500,33000,38200,0.2087,0.1351,-0.0799,0.0451,NA,0.1522,NA,0.2951,0.332460732984293,0.136125654450262
"1063",1063,"John A Logan College",1,1572,4685,NA,NA,NA,NA,NA,NA,NA,NA,NA,2625,2800,3500,26700,32200,39800,NA,NA,NA,NA,NA,NA,NA,NA,0.329145728643216,0.190954773869347
"1064",1064,"The John Marshall Law School",2,32693,20947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1065",1065,"John Wood Community College",1,3304,7366,NA,NA,NA,NA,NA,NA,NA,NA,NA,4644,4763.5,5205.5,26200,34100,37100,NA,NA,NA,NA,NA,NA,NA,NA,0.293800539083558,0.0808625336927224
"1066",1066,"Joliet Junior College",1,2565,5995,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,4750,4661.5,32000,38200,39200,NA,NA,NA,NA,NA,NA,NA,NA,0.183673469387755,0.0255102040816327
"1067",1067,"Judson University",2,12053,6450,0.4577,0.5,0.6154,1,NA,NA,NA,0.625,0.8571,17521,17950,15200,37100,43600,49500,-0.0423,-0.1577,-0.5423,NA,NA,NA,-0.1673,-0.3994,0.250505050505051,0.119191919191919
"1068",1068,"Kankakee Community College",1,2219,5454,NA,NA,NA,NA,NA,NA,NA,NA,NA,4633,5250,5500,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1069",1069,"Kaskaskia College",1,1774,4477,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,4500,5000,26000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1070",1070,"Kendall College",3,12262,5216,0.383,0.0526,0.1818,0.5,0,NA,NA,0.3333,0.1429,16164,13333,12000,35300,42100,46900,0.3304,0.2012,-0.117,0.383,NA,NA,0.0497,0.2401,0.247334754797441,0.102345415778252
"1071",1071,"Kishwaukee College",1,2176,5037,NA,NA,NA,NA,NA,NA,NA,NA,NA,5096,5250,5496,33200,35200,42600,NA,NA,NA,NA,NA,NA,NA,NA,0.220657276995305,0.173708920187793
"1072",1072,"Knox College",2,17731,12518,0.8446,0.8125,0.7727,0.8,NA,NA,0.8824,0.5588,0.4286,23000,25834,21500,46200,41600,48700,0.0321,0.0719,0.0446,NA,NA,-0.0377999999999999,0.2858,0.416,0.0513347022587269,0.145790554414784
"1073",1073,"Educators of Beauty College of Cosmetology-La Salle",3,12373,11653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1074",1074,"College of Lake County",1,2368,5657,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,3500,4231,30600,39600,44900,NA,NA,NA,NA,NA,NA,NA,NA,0.318485523385301,0.11804008908686
"1075",1075,"Lake Forest College",2,16234,10279,0.7165,0.6897,0.7143,0.6,NA,NA,1,0.8478,NA,27000,26000,22750,58200,50700,53800,0.0268,0.00219999999999998,0.1165,NA,NA,-0.2835,-0.1313,NA,-0.0817843866171004,0.0576208178438662
"1076",1076,"Lake Forest Graduate School of Management",2,16839,4565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077",1077,"Lake Land College",1,1467,3810,NA,NA,NA,NA,NA,NA,NA,NA,NA,3099.5,3500,3500,28700,33900,38700,NA,NA,NA,NA,NA,NA,NA,NA,0.258397932816537,0.124031007751938
"1078",1078,"Lakeview College of Nursing",2,19471,9806,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,19221,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1079",1079,"Lewis and Clark Community College",1,3225,6761,NA,NA,NA,NA,NA,NA,NA,NA,NA,2662.5,3500,3500,25100,34500,39900,NA,NA,NA,NA,NA,NA,NA,NA,0.370927318295739,0.135338345864662
"1080",1080,"Lewis University",2,15308,8524,0.7011,0.4267,0.4902,0.44,NA,NA,0.5,0.625,0.6667,20281,19684,18500,45700,49100,53000,0.2744,0.2109,0.2611,NA,NA,0.2011,0.0760999999999999,0.0344,0.137735849056604,0.0735849056603774
"1081",1081,"Lincoln Christian University",2,10643,5688,0.6429,0.3333,0.4,NA,0,NA,0,0,NA,19590,20000,17707,29100,31000,32500,0.3096,0.2429,NA,0.6429,NA,0.6429,0.6429,NA,0.104615384615385,0.0461538461538462
"1082",1082,"Lincoln College",2,8493,3991,0.4167,0.1255,0.0909,0,0,NA,NA,NA,0.4167,9500,9500,8625,28300,31100,36600,0.2912,0.3258,0.4167,0.4167,NA,NA,NA,0,0.226775956284153,0.150273224043716
"1083",1083,"Lincoln Land Community College",1,3509,5422,NA,NA,NA,NA,NA,NA,NA,NA,NA,5377,5500,5500,28900,34800,38100,NA,NA,NA,NA,NA,NA,NA,NA,0.241469816272966,0.0866141732283465
"1084",1084,"Lincoln College of Technology-Melrose Park",3,14800,5954,NA,NA,NA,NA,NA,NA,NA,NA,NA,11129,11907,11750,37600,47300,46000,NA,NA,NA,NA,NA,NA,NA,NA,0.182608695652174,-0.0282608695652174
"1085",1085,"Loyola University Chicago",2,22878,11731,0.7508,0.6038,0.6837,0.7447,NA,NA,0.95,0.5,0.6154,24000,23250,20500,61100,54600,58100,0.147,0.0671,0.00609999999999999,NA,NA,-0.1992,0.2508,0.1354,-0.0516351118760757,0.0602409638554217
"1086",1086,"Lutheran School of Theology at Chicago",2,5263,39052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1087",1087,"Trinity College of Nursing & Health Sciences",2,18804,10469,0.5,NA,NA,NA,NA,NA,NA,NA,NA,19000,18500,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1088",1088,"CET-Chicago",2,4355,8882,NA,NA,NA,NA,NA,NA,NA,NA,NA,5273,5304,5500,23700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089",1089,"Steven Papageorge Hair Academy",3,7397,4427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1090",1090,"MacCormac College",2,8428,3490,NA,NA,NA,NA,NA,NA,NA,NA,NA,10525,NA,NA,27600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1091",1091,"MacMurray College",2,13288,6867,0.3559,0.1364,0.6667,0,NA,NA,NA,NA,0,23000,17000,15154,39000,38500,40200,0.2195,-0.3108,0.3559,NA,NA,NA,NA,0.3559,0.0298507462686567,0.0422885572139304
"1092",1092,"McCormick Theological Seminary",2,5262,29847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1093",1093,"McHenry County College",1,2454,5016,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,3500,3500,29300,33700,38500,NA,NA,NA,NA,NA,NA,NA,NA,0.238961038961039,0.124675324675325
"1094",1094,"McKendree University",2,10436,5719,0.5921,0.4167,0.2857,0.5,NA,NA,NA,0.5,0.64,16000,18013.5,15322,39900,47400,48500,0.1754,0.3064,0.0921,NA,NA,NA,0.0921,-0.0479000000000001,0.177319587628866,0.022680412371134
"1095",1095,"Meadville Lombard Theological School",2,9904,17333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1096",1096,"Methodist College",2,19366,9340,NA,NA,NA,NA,NA,NA,NA,NA,NA,23000,23919.5,18018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097",1097,"Midstate College",3,15773,3974,0.5833,0.1818,NA,NA,NA,NA,NA,NA,NA,16230,27114,23535,26400,NA,NA,0.4015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1098",1098,"Millikin University",2,12366,8907,0.6469,0.3958,0.6667,0.25,0,0,0.6667,0.625,0.3333,21474.5,23000,21500,43000,46200,49600,0.2511,-0.0197999999999999,0.3969,0.6469,0.6469,-0.0197999999999999,0.0219,0.3136,0.133064516129032,0.0685483870967742
"1099",1099,"Monmouth College",2,12603,10582,0.6113,0.0833,0.3333,1,0,NA,NA,1,0.5714,20101.5,21250,21500,42700,44200,46300,0.528,0.278,-0.3887,0.6113,NA,NA,-0.3887,0.0398999999999999,0.0777537796976242,0.0453563714902808
"1100",1100,"Moody Bible Institute",2,6569,8542,0.8632,0.25,0.8333,0.5714,NA,NA,1,0.9333,0.8824,NA,NA,NA,NA,NA,NA,0.6132,0.0298999999999999,0.2918,NA,NA,-0.1368,-0.0701000000000001,-0.0192,NA,NA
"1101",1101,"Moraine Valley Community College",1,2716,4142,NA,NA,NA,NA,NA,NA,NA,NA,NA,5333,5500,5500,33800,37600,43100,NA,NA,NA,NA,NA,NA,NA,NA,0.215777262180974,0.127610208816705
"1102",1102,"Morrison Institute of Technology",2,13964,7803,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000,11250,12000,NA,NA,44400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1103",1103,"Morton College",1,1079,5337,NA,NA,NA,NA,NA,NA,NA,NA,NA,7187.5,4063,5250,32800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1104",1104,"Mr John's School of Cosmetology Esthetics & Nails-Decatur",3,7753,3886,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1105",1105,"National Louis University",2,14886,6238,NA,NA,0,NA,NA,NA,NA,NA,0.5,15634,12688,10063,36100,52600,69500,NA,NA,NA,NA,NA,NA,NA,NA,0.480575539568345,0.243165467625899
"1106",1106,"National University of Health Sciences",2,17628,8484,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,12000,44500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1107",1107,"Niles School of Cosmetology",3,3236,2276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108",1108,"North Central College",2,17001,8701,0.6516,0.6667,0.4643,0.6,1,NA,0.4167,0,0.5938,19250,21500,19873.5,46000,45800,49600,-0.0151,0.1873,0.0516,-0.3484,NA,0.2349,0.6516,0.0578,0.0725806451612903,0.0766129032258065
"1109",1109,"North Park University",2,16597,6923,0.6082,0.3143,0.3922,0.3929,0,NA,NA,0.7273,0.55,17100,18500,18750,40600,46400,48700,0.2939,0.216,0.2153,0.6082,NA,NA,-0.1191,0.0581999999999999,0.166324435318275,0.0472279260780287
"1110",1110,"Northern Baptist Theological Seminary",2,17108,11617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1111",1111,"Northern Illinois University",1,7274,12837,0.5946,0.279,0.4402,0.5745,0.6667,NA,NA,0.56,0.4141,16500,18000,15288.5,44600,45800,49900,0.3156,0.1544,0.0201,-0.0720999999999999,NA,NA,0.0346,0.1805,0.106212424849699,0.0821643286573146
"1112",1112,"Northwestern College-Chicago Campus",3,17415,7574,NA,NA,NA,NA,NA,NA,NA,NA,NA,16902.5,19939,20000,28100,36200,41400,NA,NA,NA,NA,NA,NA,NA,NA,0.321256038647343,0.1256038647343
"1113",1113,"Northwestern University",2,28395,37339,0.9417,0.9268,0.8851,0.9408,1,1,1,0.9008,0.8889,14787,17713,17834,92700,89900,85500,0.0149,0.0566,0.000900000000000012,-0.0583,-0.0583,-0.0583,0.0408999999999999,0.0528,-0.0842105263157895,-0.0514619883040936
"1114",1114,"Northeastern Illinois University",1,6379,12341,0.2862,0.0769,0.1748,0.2605,0,NA,NA,0.6667,0.3284,11000,11000,11112.5,36700,42600,46500,0.2093,0.1114,0.0257,0.2862,NA,NA,-0.3805,-0.0422,0.210752688172043,0.0838709677419355
"1115",1115,"Oakton Community College",1,2265,6933,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,3500,3500,40900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1116",1116,"Oehrlein School of Cosmetology",3,12354,4079,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1117",1117,"Olivet Nazarene University",2,11572,4911,0.598,0.2128,0.3667,0.8333,1,NA,1,NA,NA,17714,18974.5,19486.5,34900,39200,46900,0.3852,0.2313,-0.2353,-0.402,NA,-0.402,NA,NA,0.255863539445629,0.164179104477612
"1118",1118,"Parkland College",1,2452,5474,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400,4500,5000,30600,35600,39100,NA,NA,NA,NA,NA,NA,NA,NA,0.217391304347826,0.0895140664961637
"1119",1119,"Pivot Point Academy-Evanston",3,11504,7762,NA,NA,NA,NA,NA,NA,NA,NA,NA,13833,12500,9833,24500,28100,24700,NA,NA,NA,NA,NA,NA,NA,NA,0.00809716599190283,-0.137651821862348
"1120",1120,"Prairie State College",1,1375,3226,NA,NA,NA,NA,NA,NA,NA,NA,NA,5750,5500,5000,29600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1121",1121,"Professional's Choice Hair Design Academy",3,8366,4059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1122",1122,"Quincy University",2,9091,5645,0.5511,0.3111,0.4,0.25,1,NA,0.5,1,0,14287,17250,15000,44500,43700,44700,0.24,0.1511,0.3011,-0.4489,NA,0.0511,-0.4489,0.5511,0.00447427293064877,0.0223713646532438
"1123",1123,"Vatterott College-Quincy",3,10619,2442,NA,NA,NA,NA,NA,NA,NA,NA,NA,13292,19500,13607,26900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1124",1124,"The Illinois Institute of Art-Chicago",3,15158,6246,0.4375,0.16,0.4286,0.0833,0.5,0,1,NA,0.1896,10936,15416,15834,33200,39700,38900,0.2775,0.00890000000000002,0.3542,-0.0625,0.4375,-0.5625,NA,0.2479,0.146529562982005,-0.0205655526992288
"1125",1125,"Rend Lake College",1,1074,3629,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,4000,3866,26300,31700,37200,NA,NA,NA,NA,NA,NA,NA,NA,0.293010752688172,0.147849462365591
"1126",1126,"Richland Community College",1,872,6608,NA,NA,NA,NA,NA,NA,NA,NA,NA,3735,4000,4259,26500,36400,42500,NA,NA,NA,NA,NA,NA,NA,NA,0.376470588235294,0.143529411764706
"1127",1127,"Robert Morris University Illinois",2,17166,5317,0.6103,0.3252,0.5862,0.4286,0,NA,NA,0.75,0.4074,12000,14067,14500,29700,39100,44500,0.2851,0.0240999999999999,0.1817,0.6103,NA,NA,-0.1397,0.2029,0.332584269662921,0.121348314606742
"1128",1128,"Rock Valley College",1,1768,5496,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,3500,3375,31000,38300,40800,NA,NA,NA,NA,NA,NA,NA,NA,0.240196078431373,0.0612745098039216
"1129",1129,"Madison Media Institute-Rockford Career College",3,5819,3914,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,12000,12000,22300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1130",1130,"Rockford University",2,13790,6256,0.494,0.1176,0.6667,1,0,NA,NA,NA,0.5,21000,18750,17000,37700,41700,43600,0.3764,-0.1727,-0.506,0.494,NA,NA,NA,-0.00600000000000001,0.135321100917431,0.0435779816513761
"1131",1131,"Roosevelt University",2,19997,10315,0.3648,0.2075,0.2639,0.2258,0.3333,NA,NA,0.3333,0.3333,18750,17218.5,15000,40400,51000,49500,0.1573,0.1009,0.139,0.0315,NA,NA,0.0315,0.0315,0.183838383838384,-0.0303030303030303
"1132",1132,"Dominican University",2,15213,10312,0.6838,0.3243,0.6098,0.5,NA,NA,NA,0.6667,0.6667,17500,20000,18000,42100,44900,48600,0.3595,0.074,0.1838,NA,NA,NA,0.0171,0.0171,0.133744855967078,0.0761316872427984
"1133",1133,"Rush University",2,29645,15458,NA,NA,NA,NA,NA,NA,NA,NA,NA,29168,NA,NA,125500,91200,76700,NA,NA,NA,NA,NA,NA,NA,NA,-0.636245110821382,-0.189048239895698
"1134",1134,"Saint Francis Medical Center College of Nursing",2,10774,8926,NA,NA,NA,NA,NA,NA,NA,NA,NA,20680,15000,15000,NA,NA,67900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1135",1135,"University of St Francis",2,13711,5821,0.6063,0.2857,0.5,0.5,NA,NA,NA,1,0,22862,20613,19500,41900,47100,50200,0.3206,0.1063,0.1063,NA,NA,NA,-0.3937,0.6063,0.165338645418327,0.0617529880478088
"1136",1136,"St. John's College-Department of Nursing",2,17725,25848,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,14187.5,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1137",1137,"Saint Xavier University",2,14676,8417,0.6564,0.3793,0.3723,0.625,1,NA,1,0,0.5417,18250,18339,19000,45600,46000,51900,0.2771,0.2841,0.0314,-0.3436,NA,-0.3436,0.6564,0.1147,0.121387283236994,0.113680154142582
"1138",1138,"University of Illinois at Springfield",1,6750,10299,0.5667,0.411,0.2381,0.125,0,NA,NA,0.3333,0.5,14400,14900,15000,43800,45300,47200,0.1557,0.3286,0.4417,0.5667,NA,NA,0.2334,0.0667,0.0720338983050847,0.0402542372881356
"1139",1139,"Sauk Valley Community College",1,1845,3692,NA,NA,NA,NA,NA,NA,NA,NA,NA,3250,3931.5,4000,28500,36700,35100,NA,NA,NA,NA,NA,NA,NA,NA,0.188034188034188,-0.0455840455840456
"1140",1140,"Shawnee Community College",1,1656,5829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141",1141,"Shimer College",2,20175,8987,0.3478,NA,NA,NA,NA,NA,0,NA,0,35500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3478,NA,0.3478,NA,NA
"1142",1142,"Saint Augustine College",2,8557,4298,0,0.1667,0.3171,0.4722,0,NA,NA,NA,0,NA,NA,NA,25500,NA,NA,-0.1667,-0.3171,-0.4722,0,NA,NA,NA,0,NA,NA
"1143",1143,"University of Saint Mary of the Lake",2,42907,28776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144",1144,"Southeastern Illinois College",1,1132,4273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145",1145,"National Latino Education Institute",2,2952,6261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146",1146,"Spertus College",2,9528,17894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147",1147,"Spoon River College",1,4009,4556,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,4500,4176,28400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148",1148,"Saint Anthony College of Nursing",2,21090,9334,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,16500,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
