"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","gap_completion_white_black"
"446","Otis College of Art and Design",2,27323,14922,0.56,0.625,-0.116071428571428
"448","Hope International University",2,10009,6137,0.44,0.3333,0.2425
"455","Pacific Union College",2,16683,10227,0.4624,0.4615,0.00194636678200683
"456","University of the Pacific",2,30355,18824,0.6832,0.6452,0.0556206088992975
"461","Pepperdine University",2,26889,11639,0.8606,0.8077,0.061468742737625
"462","Pitzer College",2,47001,25056,0.8152,0.875,-0.0733562315996074
"463","Platt College-San Diego",3,15678,4468,0.6667,1,-0.499925003749813
"464","Point Loma Nazarene University",2,19120,8862,0.7412,0.7,0.0555855369670804
"465","Pomona College",2,23238,37082,0.9368,0.92,0.0179333902647309
"467","Westwood College-South Bay",3,14821,2884,0.4,0.0909,0.77275
"472","University of Redlands",2,17893,9254,0.7044,0.875,-0.242191936399773
"489","San Diego State University",1,6721,6812,0.7166,0.5703,0.204158526374546
"490","University of San Diego",2,27197,13897,0.7827,0.6667,0.148204931646863
"491","San Francisco Art Institute",2,24660,8735,0.3611,0.3333,0.0769869842148989
"493","San Francisco State University",1,6348,8331,0.5056,0.4083,0.192444620253165
"495","University of San Francisco",2,27427,15387,0.6856,0.5,0.27071178529755
"499","William Jessup University",2,14330,6551,0.7045,0.5,0.2902767920511
"501","San Jose State University",1,7716,8357,0.5554,0.3846,0.307526107310047
"503","Santa Barbara Business College-Bakersfield",3,14534,3232,0.5094,0.1579,0.690027483313702
"504","Westwood College-Los Angeles",3,14396,3313,0.15,1,-5.66666666666667
"505","Santa Barbara Business College-Santa Maria",3,13893,3244,0.7333,1,-0.363698349924997
"507","Santa Clara University",2,22800,12668,0.828,0.7955,0.0392512077294686
"511","Scripps College",2,29662,28832,0.8662,1,-0.154467790348649
"520","Simpson University",2,13361,6351,0.5182,0.2857,0.448668467773061
"525","Saint Mary's College of California",2,23532,12896,0.7362,0.5349,0.273431132844336
"527","Sonoma State University",1,6952,7664,0.5863,0.3529,0.398089715162886
"531","Vanguard University of Southern California",2,15711,6750,0.6277,0.1111,0.823004620041421
"537","University of Southern California",2,30675,43170,0.9046,0.8413,0.0699756798585009
"543","Epic Bible College",2,11427,4769,0.3333,0.5,-0.5001500150015
"559","Westmont College",2,20556,14047,0.7941,0.7143,0.100491122024934
"560","Whittier College",2,24728,11796,0.6684,0.4667,0.301765409934171
"561","Woodbury University",2,19323,11338,0.3438,0.5556,-0.616055846422339
"568","Adams State University",1,6568,8399,0.2953,0.0588,0.800880460548595
"573","University of Colorado Denver/Anschutz Medical Campus",1,13347,26708,0.3936,0.3729,0.0525914634146341
"574","University of Colorado Colorado Springs",1,10048,7093,0.4761,0.4412,0.0733039277462719
"576","University of Colorado Boulder",1,17532,14987,0.7084,0.5714,0.19339356295878
"577","Colorado Christian University",2,13179,3354,0.4457,0.1429,0.679380749382993
"578","Colorado College",2,28609,21002,0.8634,0.375,0.565670604586518
"580","The Art Institute of Colorado",3,14763,4820,0.2685,0.1667,0.379143389199255
"583","Colorado School of Mines",1,18760,14527,0.7781,0.7692,0.0114381184937669
"585","Colorado State University-Fort Collins",1,12634,10857,0.6689,0.5868,0.122738824936463
"586","Colorado Technical University-Colorado Springs",3,16251,3724,0.2857,0.6,-1.10010500525026
"589","CollegeAmerica-Denver",2,17746,4604,0.2179,0.18,0.173932996787517
"595","Westwood College-Denver North",3,13845,3887,0.2017,0.1111,0.449181953396133
"596","University of Denver",2,26394,14380,0.7839,0.5789,0.261512948080112
"605","Colorado Mesa University",1,6676,5710,0.3414,0.1923,0.436731107205624
"606","Metropolitan State University of Denver",1,5712,5132,0.2726,0.0909,0.666544387380778
"613","University of Northern Colorado",1,9425,8348,0.4823,0.3563,0.261248185776488
"620","Regis University",2,14235,6455,0.5967,0.875,-0.466398525222055
"621","Rocky Mountain College of Art and Design",3,17017,7333,0.5567,0.5,0.10185018861146
"623","Colorado State University-Pueblo",1,4750,5205,0.3598,0.2667,0.25875486381323
"629","Western State Colorado University",1,7976,8328,0.373,0.3333,0.106434316353887
"630","Albertus Magnus College",2,12659,5428,0.5545,0.4348,0.215870153291253
"634","Lincoln College of New England-Southington",3,20794,10757,0.2388,0.1111,0.534757118927973
"636","University of Bridgeport",2,16453,8099,0.4306,0.24,0.442638179284719
"637","Central Connecticut State University",1,7796,9928,0.5464,0.4318,0.209736456808199
"640","Connecticut College",2,28347,19122,0.8213,0.9231,-0.123949835626446
"643","University of Connecticut",1,11680,22554,0.8157,0.6685,0.180458501900208
"644","Goodwin College",2,15929,10926,0.283,0.1633,0.422968197879859
"646","Eastern Connecticut State University",1,6709,9736,0.5869,0.5484,0.0655989095246209
"647","Fairfield University",2,24805,11411,0.7892,0.8158,-0.033705017739483
"653","University of Hartford",2,16393,12724,0.5611,0.3969,0.292639458207093
"660","Mitchell College",2,14981,5256,0.4815,0.4091,0.150363447559709
"664","University of New Haven",2,18751,8446,0.5525,0.3727,0.325429864253394
"668","Paier College of Art Inc",3,13083,5930,0.6296,0.6667,-0.0589263024142311
"671","Post University",3,11859,2508,0.2879,0.1714,0.404654393886766
"673","Quinnipiac University",2,27462,14176,0.7563,0.8571,-0.133280444268148
"674","Sacred Heart University",2,19851,8425,0.6739,0.5455,0.190532719988129
"675","University of Saint Joseph",2,18255,11708,0.6045,0.3214,0.468320926385443
"678","Southern Connecticut State University",1,8750,11023,0.5517,0.4694,0.149175276418343
"681","Trinity College",2,30787,23628,0.8225,0.7436,0.0959270516717325
"683","Wesleyan University",2,29384,25359,0.9399,0.9268,0.0139376529418023
"684","Western Connecticut State University",1,7369,10530,0.4443,0.3855,0.132343011478731
"692","Delaware State University",1,6032,11129,0.5455,0.4172,0.235197066911091
"693","University of Delaware",1,17838,17395,0.8058,0.5904,0.267311988086374
"694","Goldey-Beacom College",2,14321,3093,0.5686,0.2083,0.633661625043968
"696","Wesley College",2,14441,6592,0.2641,0.1768,0.330556607345702
"697","Wilmington University",2,8049,3231,0.4227,0.12,0.71611071682044
"698","American University",2,30440,12620,0.8244,0.7636,0.0737506065016983
"699","Catholic University of America",2,22765,16368,0.6744,0.64,0.0510083036773428
"700","University of the District of Columbia",1,7812,13675,0.125,0.1306,-0.0448
"702","Gallaudet University",2,12269,35595,0.4775,0.2857,0.401675392670157
"703","George Washington University",2,28464,20938,0.7941,0.7432,0.0640977206900895
"704","Georgetown University",2,34183,31102,0.9527,0.9053,0.0497533326335678
"707","Strayer University-District of Columbia",3,17247,2292,0.5,0.1429,0.7142
"709","Trinity Washington University",2,15381,5795,0.6667,0.4366,0.345132743362832
"712","The Art Institute of Fort Lauderdale",3,14567,5513,0.4272,0.3175,0.256788389513109
"714","The Baptist College of Florida",2,8740,6018,0.4444,1,-1.25022502250225
"715","Barry University",2,16459,9969,0.3784,0.3371,0.109143763213531
"717","Bethune-Cookman University",2,10171,6759,0.3333,0.4978,-0.493549354935494
"718","Lynn University",2,22163,8399,0.3475,0.4545,-0.307913669064748
"721","Eastern Florida State College",1,1610,3942,0.4897,0.3444,0.296712272820094
"722","Broward College",1,1200,3212,0.375,0.2998,0.200533333333333
"725","College of Central Florida",1,1192,3566,0.4417,0.2991,0.322843558976681
"727","University of Central Florida",1,5199,5687,0.7024,0.6679,0.0491173120728929
"729","Chipola College",1,1414,6176,0.4608,0.3085,0.330512152777778
"730","Clearwater Christian College",2,11484,5278,0.486,0.5,-0.0288065843621399
"732","Daytona State College",1,1501,5291,0.3944,0.2185,0.445993914807302
"733","South University-West Palm Beach",3,16724,7455,0.0769,0.069,0.102730819245774
"734","Eckerd College",2,19367,11485,0.6701,0.4118,0.385464855991643
"735","Florida SouthWestern State College",1,1318,3782,0.3337,0.2919,0.125262211567276
"736","Edward Waters College",2,9307,4413,0.25,0.2075,0.17
"737","Embry-Riddle Aeronautical University-Daytona Beach",2,29248,15223,0.5517,0.2716,0.507703462026464
"738","Florida Agricultural and Mechanical University",1,5113,9739,0.3548,0.3949,-0.113021420518602
"739","Florida Atlantic University",1,5550,6869,0.454,0.4401,0.0306167400881058
"740","Florida State College at Jacksonville",1,1854,3699,0.3817,0.2649,0.305999476028294
"741","Flagler College-St Augustine",2,13414,5649,0.5709,0.7143,-0.251182343667893
"746","Adventist University of Health Sciences",2,12392,8494,0.35,0.3077,0.120857142857143
"747","Florida Institute of Technology",2,21450,12044,0.5677,0.3902,0.312665140038753
"749","Florida International University",1,6256,6843,0.4858,0.4519,0.069781803211198
"752","Florida Career College-Miami",3,8903,2939,0.4084,0.3357,0.178011753183154
"754","Florida Southern College",2,16051,6879,0.6522,0.6471,0.00781968721251149
"755","Florida State University",1,6263,9688,0.7911,0.7808,0.0130198457843509
"756","Florida Technical College",3,5633,3014,0.5737,0.5,0.128464354192086
"757","University of Southernmost Florida",3,9045,11547,1,1,0
"758","University of Florida",1,7553,15962,0.8866,0.7934,0.105120685765847
"759","Everest University-Pompano Beach",3,11797,4758,0.4857,0.4172,0.141033559810583
"761","Full Sail University",3,13051,3672,0.6183,0.3452,0.44169497007925
"764","Gulf Coast State College",1,1166,5194,0.3412,0.3333,0.0231535756154748
"770","Indian River State College",1,1316,5211,0.4284,0.2703,0.369047619047619
"771","Sanford-Brown College-Tampa",3,20233,7559,0.3739,0.2642,0.293393955603102
"773","AI Miami International University of Art and Design",3,15302,5146,0.4109,0.3913,0.0477001703577513
"774","ITT Technical Institute-Tampa",3,18423,3286,0.5185,0.3077,0.40655737704918
"775","Jacksonville University",2,10885,7851,0.4486,0.3158,0.296032099866251
"776","Jones College-Jacksonville",2,3205,2462,0.4615,0.3333,0.277789815817985
"777","Keiser University-Ft Lauderdale",2,14124,4455,0.6402,0.4992,0.220243673851921
"780","Florida Gateway College",1,1412,4791,0.5145,0.2759,0.463751214771623
"782","Lake-Sumter State College",1,1925,3767,0.4136,0.1875,0.546663442940039
"788","State College of Florida-Manatee-Sarasota",1,2379,3505,0.3411,0.1183,0.653180885370859
"795","Miami Dade College",1,1476,3652,0.3297,0.2706,0.179253867151956
"796","University of Miami",2,29286,28897,0.8155,0.7816,0.0415695892090742
"799","Remington College-Tampa Campus",2,11276,7507,0.5114,0.3973,0.223113023073915
"802","Lincoln College of Technology-West Palm Beach",3,11856,4913,0.502,0.4245,0.154382470119522
"805","University of North Florida",1,5264,5572,0.5507,0.608,-0.104049391683312
"806","Northwood University-Florida",2,16307,7663,0.2955,0.3125,-0.0575296108291033
"807","Nova Southeastern University",2,17966,11457,0.4682,0.2952,0.369500213583938
"808","Northwest Florida State College",1,1854,4226,0.4089,0.2597,0.364881389092688
"809","Everest University-North Orlando",3,11246,6183,0.477,0.4131,0.133962264150943
"811","Palm Beach Atlantic University",2,16273,7901,0.5691,0.5217,0.0832894043226146
"812","Palm Beach State College",1,1991,3656,0.3461,0.2873,0.169893094481364
"813","Pasco-Hernando State College",1,1386,3321,0.3537,0.1711,0.516256714729997
"814","Pensacola State College",1,1375,4280,0.3533,0.2147,0.392301160486838
"816","Polk State College",1,1559,4315,0.3016,0.1688,0.440318302387268
"820","Ringling College of Art and Design",2,34848,18531,0.6453,0.5385,0.165504416550442
"822","Rollins College",2,18320,11800,0.7139,0.75,-0.0505673063454266
"824","Saint Leo University",2,9630,3668,0.4642,0.35,0.246014648858251
"825","St Petersburg College",1,1973,4443,0.3624,0.1795,0.504690949227373
"827","Santa Fe College",1,2121,3868,0.614,0.4737,0.228501628664495
"830","Seminole State College of Florida",1,1848,3622,0.4055,0.2407,0.406411837237978
"833","Saint Johns River State College",1,1711,4113,0.435,0.2031,0.533103448275862
"834","South Florida State College",1,1006,6368,0.4132,0.2727,0.340029041626331
"835","University of South Florida-Main Campus",1,6454,8841,0.6634,0.6623,0.00165812481157671
"836","St Thomas University",2,16172,7797,0.2727,0.2273,0.166483314998166
"838","Stetson University",2,18645,11669,0.6159,0.4615,0.250690047085566
"839","Southeastern University",2,11590,4482,0.4633,0.2826,0.390028059572631
"844","Everest University-Tampa",3,9718,5676,0.5484,0.4466,0.185630926331145
"845","Everest University-Largo",3,10770,5945,0.5249,0.3761,0.283482568108211
"846","The University of Tampa",2,16628,5784,0.6215,0.5962,0.0407079646017701
"849","Trinity Baptist College",2,4946,2512,0.4096,0.3333,0.186279296875
"850","Trinity College of Florida",2,11781,4538,0.4375,0.2857,0.346971428571429
"852","Valencia College",1,1793,3022,0.4881,0.3388,0.305879942634706
"853","Warner University",2,4529,3151,0.3953,0.2692,0.318998229193018
"855","Webber International University",2,12023,2949,0.3163,0.1892,0.401833702181473
"856","Rasmussen College-Florida",3,12118,2431,0.3175,0.1111,0.65007874015748
"857","The University of West Florida",1,5937,6022,0.5157,0.4397,0.147372503393446
"862","Abraham Baldwin Agricultural College",1,2359,4808,0.188,0.0549,0.707978723404255
"863","Agnes Scott College",2,12517,14843,0.7475,0.7273,0.0270234113712376
"867","Darton State College",1,2443,3741,0.2009,0.0749,0.627177700348432
"868","Albany State University",1,4030,6772,0.1429,0.3974,-1.78096571028691
"870","Armstrong State University",1,4839,6105,0.3278,0.2663,0.187614399023795
"871","The Art Institute of Atlanta",3,12641,3957,0.249,0.1878,0.24578313253012
"874","Point University",2,9337,5833,0.3095,0.4186,-0.352504038772213
"881","Bauder College",3,9879,4670,0.6667,0.2287,0.656967151642418
"883","Berry College",2,13245,12558,0.628,0.4483,0.286146496815287
"885","Brenau University",2,13562,6985,0.4742,0.4054,0.145086461408688
"886","Brewton-Parker College",2,6173,4063,0.1839,0.1778,0.0331702011963023
"888","College of Coastal Georgia",1,2309,6533,0.1719,0.0789,0.541012216404887
"891","Clayton  State University",1,4743,5578,0.2747,0.3232,-0.176556243174372
"894","Columbus State University",1,6154,7509,0.3477,0.2691,0.226056945642796
"896","Covenant College",2,13871,8640,0.5833,0.3636,0.376650094291102
"899","South University-Savannah",3,13619,3949,0.1905,0.0417,0.781102362204724
"900","East Georgia State College",1,1492,3699,0.0853,0.0163,0.808909730363423
"901","Emmanuel College",2,8120,4819,0.4828,0.3846,0.203396851698426
"902","Emory University",2,24533,40450,0.8815,0.9207,-0.0444696539988656
"903","Georgia Highlands College",1,2454,3367,0.0714,0.0296,0.585434173669468
"904","Fort Valley State University",1,3485,5226,0.3333,0.315,0.0549054905490549
"906","Georgia Institute of Technology-Main Campus",1,12832,13216,0.8148,0.7656,0.0603829160530192
"907","Georgia Southwestern State University",1,4506,6156,0.3249,0.3221,0.00861803631886742
"908","Georgia College and State University",1,7922,7436,0.6177,0.6078,0.0160271976687713
"909","Georgia Southern University",1,5686,6032,0.5154,0.5281,-0.024641055490881
"910","Georgia State University",1,7171,7241,0.5027,0.5627,-0.119355480405809
"911","University of Georgia",1,10408,8634,0.8513,0.8144,0.0433454716316221
"912","Gordon State College",1,2139,4104,0.1753,0.0808,0.53907586993725
"918","Kennesaw State University",1,6034,6167,0.4371,0.4327,0.0100663463738275
"919","LaGrange College",2,14307,12322,0.5323,0.45,0.154612060867932
"921","Life University",2,19362,5145,0.4211,0.1429,0.66065067679886
"923","Herzing University-Atlanta",3,11311,5539,0.5,0.1875,0.625
"924","Mercer University",2,16330,10757,0.6744,0.5091,0.245106761565836
"925","Morehouse College",2,14394,11327,0.25,0.5265,-1.106
"929","Oglethorpe University",2,12338,8735,0.568,0.4359,0.232570422535211
"931","Piedmont College",2,9122,7524,0.5897,0.3214,0.454977107003561
"933","Reinhardt University",2,10884,7297,0.3816,0.3333,0.126572327044025
"936","Savannah State University",1,2800,5047,0.25,0.2755,-0.102
"937","Shorter University",2,8944,5685,0.4575,0.4,0.12568306010929
"943","Thomas University",2,10172,5415,0.3171,0.0952,0.699779249448124
"945","Truett-McConnell College",2,8064,3807,0.287,0.0455,0.841463414634146
"947","Valdosta State University",1,5474,6493,0.3992,0.3821,0.0428356713426854
"948","Wesleyan College",2,10081,11435,0.5,0.3043,0.3914
"949","University of West Georgia",1,5366,6635,0.4159,0.4032,0.0305361865833133
"950","Young Harris College",2,9769,8794,0.4706,0.25,0.468763280917977
"952","Chaminade University of Honolulu",2,14296,8320,0.4138,0.4286,-0.0357660705654905
"953","University of Hawaii at Hilo",1,7031,13729,0.36,0.6,-0.666666666666667
"954","University of Hawaii at Manoa",1,9558,19856,0.4431,0.2414,0.455201986007673
"956","Hawaii Pacific University",2,15303,6823,0.3354,0.4,-0.192605843768635
"969","Boise State University",1,6727,7399,0.3617,0.4828,-0.334807851810893
"971","Idaho State University",1,7624,9016,0.3362,0.4167,-0.239440809042237
"972","University of Idaho",1,8109,11119,0.5917,0.4,0.323981747507183
"973","The College of Idaho",2,10436,6695,0.6443,0.4,0.37917119354338
"979","Northwest Nazarene University",2,11663,8351,0.5508,0.2222,0.596586782861293
"981","Brigham Young University-Idaho",2,2424,4263,0.5672,0.6667,-0.175423131170663
"986","American Academy of Art",3,25450,4154,0.5536,0.2,0.638728323699422
"987","School of the Art Institute of Chicago",2,27614,13923,0.55,0.3529,0.358363636363636
"988","Augustana College",2,17802,10237,0.7564,0.5263,0.304204124801692
"989","Aurora University",2,11230,4736,0.5699,0.4167,0.268819091068608
"994","Blackburn College",2,12758,7214,0.4094,0.1538,0.624328285295555
"997","Bradley University",2,19329,14726,0.7689,0.5413,0.296007283131747
"1011","Chicago State University",1,5468,15606,0.8333,0.1867,0.775951038041522
"1013","University of Chicago",2,27753,83779,0.9349,0.9079,0.0288800941277141
"1021","Columbia College-Chicago",2,19883,13211,0.4724,0.2609,0.447713801862828
"1022","Concordia University-Chicago",2,13719,8701,0.717,0.2059,0.712831241283124
"1027","DePaul University",2,22044,12896,0.7294,0.6202,0.149712092130518
"1031","Eastern Illinois University",1,7193,13142,0.6392,0.4109,0.357165206508135
"1033","Elmhurst College",2,14872,8231,0.7483,0.7368,0.0153681678471201
"1041","Greenville College",2,11475,7370,0.4881,0.3846,0.212046711739398
"1045","Harrington College of Design",3,22880,9866,0.527,0.1818,0.655028462998103
"1049","University of Illinois at Chicago",1,11629,26053,0.6205,0.4341,0.300402900886382
"1050","Benedictine University",2,11503,6646,0.5563,0.4737,0.148481035412547
"1052","University of Illinois at Urbana-Champaign",1,13826,13924,0.8723,0.7469,0.143757881462799
"1053","Illinois Wesleyan University",2,19599,16167,0.8197,0.5882,0.282420397706478
"1055","Illinois College",2,10823,9587,0.7868,0.5,0.364514489069649
"1057","Illinois Institute of Technology",2,19025,12262,0.7071,0.5556,0.214255409418753
"1059","Illinois State University",1,9747,9858,0.734,0.5676,0.226702997275204
"1062","Sanford-Brown College-Chicago",3,22630,12669,0.2951,0.0864,0.707217892239919
"1067","Judson University",2,12053,6450,0.4577,0.5,-0.0924186148131964
"1070","Kendall College",3,12262,5216,0.383,0.0526,0.86266318537859
"1072","Knox College",2,17731,12518,0.8446,0.8125,0.0380061567605968
"1075","Lake Forest College",2,16234,10279,0.7165,0.6897,0.0374040474528961
"1080","Lewis University",2,15308,8524,0.7011,0.4267,0.391384966481244
"1081","Lincoln Christian University",2,10643,5688,0.6429,0.3333,0.481567895473635
"1082","Lincoln College",2,8493,3991,0.4167,0.1255,0.698824094072474
"1085","Loyola University Chicago",2,22878,11731,0.7508,0.6038,0.19579115610016
"1091","MacMurray College",2,13288,6867,0.3559,0.1364,0.616746277044114
"1094","McKendree University",2,10436,5719,0.5921,0.4167,0.296233744299949
"1097","Midstate College",3,15773,3974,0.5833,0.1818,0.688325047145551
"1098","Millikin University",2,12366,8907,0.6469,0.3958,0.38815891173288
"1099","Monmouth College",2,12603,10582,0.6113,0.0833,0.863733027973172
"1100","Moody Bible Institute",2,6569,8542,0.8632,0.25,0.710379981464319
"1108","North Central College",2,17001,8701,0.6516,0.6667,-0.0231737262124003
"1109","North Park University",2,16597,6923,0.6082,0.3143,0.48322920092075
"1111","Northern Illinois University",1,7274,12837,0.5946,0.279,0.530776992936428
"1113","Northwestern University",2,28395,37339,0.9417,0.9268,0.0158224487628757
"1114","Northeastern Illinois University",1,6379,12341,0.2862,0.0769,0.73130677847659
"1117","Olivet Nazarene University",2,11572,4911,0.598,0.2128,0.644147157190635
"1122","Quincy University",2,9091,5645,0.5511,0.3111,0.435492651061513
"1124","The Illinois Institute of Art-Chicago",3,15158,6246,0.4375,0.16,0.634285714285714
"1127","Robert Morris University Illinois",2,17166,5317,0.6103,0.3252,0.467147304604293
"1130","Rockford University",2,13790,6256,0.494,0.1176,0.761943319838057
"1131","Roosevelt University",2,19997,10315,0.3648,0.2075,0.431195175438597
"1132","Dominican University",2,15213,10312,0.6838,0.3243,0.525738520035098
"1135","University of St Francis",2,13711,5821,0.6063,0.2857,0.528781131453076
"1137","Saint Xavier University",2,14676,8417,0.6564,0.3793,0.422151127361365
"1138","University of Illinois at Springfield",1,6750,10299,0.5667,0.411,0.274748544203282
"1150","Southern Illinois University-Carbondale",1,8434,15675,0.5167,0.3107,0.398683955873815
"1151","Southern Illinois University-Edwardsville",1,7872,12666,0.5375,0.368,0.315348837209302
"1156","Trinity Christian College",2,15660,10457,0.6158,0.1765,0.713380967846703
"1157","Trinity International University-Illinois",2,11524,9396,0.5283,0.0833,0.842324436872989
"1160","VanderCook College of Music",2,13742,5930,0.7727,0.6667,0.13718131228161
"1163","Western Illinois University",1,6747,11581,0.561,0.4781,0.14777183600713
"1164","Wheaton College",2,19517,13157,0.8968,0.9048,-0.00892060660124889
"1167","Anderson University",2,12546,8594,0.6468,0.4286,0.337353123067409
"1169","Ball State University",1,7522,10219,0.6205,0.4419,0.287832393231265
"1170","Bethel College-Indiana",2,13390,7865,0.7638,0.1364,0.821419219691019
"1171","Butler University",2,21007,13481,0.7906,0.6486,0.179610422463951
"1172","Calumet College of Saint Joseph",2,12933,5384,0.2698,0.2,0.258710155670867
"1177","DePauw University",2,17231,18608,0.7918,0.8,-0.0103561505430666
"1180","Earlham College",2,14123,21481,0.7233,0.6875,0.0494953684501591
"1181","University of Evansville",2,13541,10614,0.6449,0.5263,0.183904481314933
"1182","Franklin College",2,13013,9207,0.6186,0.25,0.595861623019722
"1183","Goshen College",2,14638,11031,0.7252,0.5,0.310535024820739
"1184","Grace College and Theological Seminary",2,7353,6263,0.6482,0.5714,0.118481950015427
"1187","Hanover College",2,11161,11611,0.6929,0.4,0.422716120652331
"1189","Holy Cross College",2,12635,5319,0.3289,0.1429,0.565521435086653
"1191","Huntington University",2,11041,9279,0.5823,0.2857,0.509359436716469
"1193","Indiana University-Purdue University-Fort Wayne",1,5643,7804,0.2714,0.0909,0.665070007369197
"1194","Indiana University-Purdue University-Indianapolis",1,10593,15469,0.4297,0.3728,0.132417966022807
"1196","University of Indianapolis",2,13502,8185,0.5712,0.2375,0.584208683473389
"1197","Indiana Institute of Technology",2,6364,3392,0.675,0.4783,0.291407407407407
"1198","University of Southern Indiana",1,5288,6024,0.4287,0.1711,0.600886400746443
"1199","Indiana State University",1,5726,7289,0.4356,0.2639,0.39416896235078
"1200","Indiana University-Kokomo",1,4931,5500,0.2876,0.2727,0.0518080667593881
"1201","Indiana University-South Bend",1,5284,7553,0.2675,0.1884,0.295700934579439
"1202","Indiana University-Bloomington",1,16449,13730,0.791,0.5889,0.255499367888748
"1203","Indiana University-Northwest",1,5147,6340,0.3244,0.0794,0.755240443896424
"1204","Indiana University-Southeast",1,5274,6754,0.3329,0.0816,0.754881345749474
"1205","Indiana University-East",1,4932,5445,0.2748,0.3333,-0.212882096069869
"1206","International Business College-Fort Wayne",3,14080,4142,0.7597,0.75,0.0127681979728841
"1208","ITT Technical Institute-Nashville",3,18701,2594,0.33,0.3488,-0.0569696969696969
"1209","ITT Technical Institute-Fort Wayne",3,20758,4407,0.3418,0.5,-0.462843768285547
"1210","ITT Technical Institute-Indianapolis",3,15197,2310,0.2444,0.1087,0.555237315875614
"1214","Brown Mackie College-Merrillville",3,10744,3130,0.5085,0.5077,0.00157325467059963
"1215","Brown Mackie College-Michigan City",3,9617,3991,0.25,0.2222,0.1112
"1218","Manchester University",2,12621,8996,0.5607,0.35,0.375780274656679
"1220","Indiana Wesleyan University-Marion",2,9769,3941,0.6484,0.5115,0.211135101789019
"1221","Martin University",2,10120,5801,0.3333,0.0667,0.7998799879988
"1225","Brown Mackie College-South Bend",3,10853,4582,0.3571,0.3269,0.08457014841781
"1226","Mid-America College of Funeral Service",2,4411,4528,0.875,0.6,0.314285714285714
"1228","University of Notre Dame",2,22629,26632,0.9617,0.9057,0.0582302173234897
"1229","Oakland City University",2,12194,6119,0.6082,0.5625,0.0751397566589937
"1231","Purdue University-Calumet Campus",1,7138,7768,0.3631,0.1318,0.637014596529882
"1232","Purdue University-North Central Campus",1,4856,5080,0.2488,0.2623,-0.0542604501607716
"1235","Rose-Hulman Institute of Technology",2,23137,20942,0.747,0.5,0.330655957161981
"1237","University of Saint Francis-Fort Wayne",2,14158,7011,0.5606,0.125,0.77702461648234
"1238","Saint Josephs College",2,7930,6227,0.4915,0.2105,0.571719226856562
"1240","Saint Mary's College",2,17442,14546,0.8225,0.6667,0.189422492401216
"1244","Taylor University",2,16781,10270,0.7463,0.5455,0.269060699450623
"1245","Trine University",2,14191,7598,0.5788,0.3125,0.460089841050449
"1246","Valparaiso University",2,17219,10528,0.7122,0.2222,0.68800898623982
"1248","Vincennes University",1,2869,5454,0.2753,0.0443,0.839084634943698
"1249","Wabash College",2,15784,15009,0.7857,0.5714,0.272750413643884
"1251","AIB College of Business",2,8658,3604,0.5648,0.5,0.114730878186969
"1252","Briar Cliff University",2,12414,6604,0.4901,0.35,0.285860028565599
"1253","Buena Vista University",2,10990,7185,0.4789,0.5,-0.0440593025683859
"1257","Central College",2,15272,13075,0.6923,0.3333,0.518561317347971
"1258","Clarke University",2,16331,8648,0.7838,1,-0.275835672365399
"1259","Coe College",2,12992,12068,0.6932,0.7143,-0.0304385458742066
"1260","Cornell College",2,14872,10924,0.6608,0.3636,0.449757869249395
"1264","Dordt College",2,13877,9273,0.6686,0.3333,0.501495662578522
"1265","Drake University",2,19025,9898,0.7829,0.6667,0.148422531613233
"1266","University of Dubuque",2,17590,6773,0.7315,0.5556,0.240464798359535
"1272","Graceland University-Lamoni",2,10847,7762,0.5809,0.5294,0.0886555345154071
"1273","Grand View University",2,13313,6321,0.5125,0.2647,0.483512195121951
"1274","Grinnell College",2,15725,23944,0.903,0.6818,0.244961240310078
"1276","Kaplan University-Cedar Rapids Campus",3,6914,1972,0.4615,0.1429,0.690357529794149
"1277","Hamilton Technical College",3,6271,3146,0.7658,0.4118,0.462261687124576
"1286","Iowa State University",1,9647,9179,0.708,0.4964,0.298870056497175
"1287","Iowa Wesleyan University",2,13363,10604,0.4333,0.1429,0.670205400415417
"1289","University of Iowa",1,13687,14593,0.7059,0.4902,0.30556736081598
"1295","Loras College",2,12369,6733,0.6399,0.4,0.374902328488826
"1296","Luther College",2,18373,13112,0.8356,0.6667,0.202130205840115
"1300","Morningside College",2,10192,5590,0.5649,0.3333,0.409984067976633
"1302","Ashford University",3,11829,2024,0.2215,0.1188,0.463656884875846
"1304","University of Northern Iowa",1,5924,9802,0.6486,0.4203,0.351988899167437
"1305","Northwestern College",2,11801,8356,0.6471,0.2,0.690928759078968
"1312","Saint Ambrose University",2,15626,9031,0.5904,0.3,0.491869918699187
"1316","Simpson College",2,12406,8297,0.7314,0.4444,0.392398140552365
"1322","Upper Iowa University",2,7458,3549,0.4754,0.1429,0.699411022297013
"1323","Waldorf College",3,6955,3447,0.4302,0.0714,0.834030683403068
"1324","Wartburg College",2,15348,9632,0.7366,0.6333,0.140238935650285
"1328","William Penn University",2,9228,4941,0.4336,0.1404,0.67619926199262
"1330","Baker University",2,11872,5319,0.6209,0.4,0.355773876630697
"1332","Benedictine College",2,10941,6322,0.9147,1,-0.0932546190007653
"1333","Bethany College",2,6677,4923,0.3852,0.2857,0.258307372793354
