"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10"
"22","George C Wallace State Community College-Selma",1,"1184","5861","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","27700","PrivacySuppressed","PrivacySuppressed"
"23","Herzing University-Birmingham",3,"11395","5800","0.4","0.3846","1","NULL","NULL","NULL","NULL","NULL","0","9500","14750","14995","38500","47600","47700"
"24","Huntingdon College",2,"10131","6435","0.4592","0.4286","0.25","NULL","0","NULL","NULL","1","0.4444","14764","19120","15764","36200","40400","43800"
"25","Heritage Christian University",2,"10966","9085","0.5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"26","J F Drake State Community and Technical College",1,"1292","4944","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","23500","PrivacySuppressed","PrivacySuppressed"
"27","Jacksonville State University",1,"6447","7283","0.3478","0.2199","0.2143","0.375","0.5714","NULL","NULL","0.5556","0.1905","17234","16200","14000","33600","38300","39900"
"28","Jefferson Davis Community College",1,"1178","5279","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","28100","PrivacySuppressed","PrivacySuppressed"
"29","Jefferson State Community College",1,"2708","4733","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3500","4500","5500","29500","35400","37500"
"30","John C Calhoun State Community College",1,"3170","3706","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","5500","5500","28100","36000","37500"
"31","Judson College",2,"8101","11427","0.4737","0.3","0.25","NULL","1","NULL","NULL","NULL","0","14250","19000","19500","PrivacySuppressed","32900","PrivacySuppressed"
"32","Lawson State Community College-Birmingham Campus",1,"1374","6161","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","25300","PrivacySuppressed","PrivacySuppressed"
"33","University of West Alabama",1,"7928","7552","0.3896","0.2759","0.3333","0","0.25","NULL","NULL","NULL","0","13182","12000","9699.5","33700","39600","41700"
"34","Lurleen B Wallace Community College",1,"1684","6246","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","29100","PrivacySuppressed","PrivacySuppressed"
"35","Marion Military Institute",1,"3286","5088","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","5500","5500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"36","Miles College",2,"5202","5140","0","0.2143","0","NULL","NULL","NULL","0","NULL","0","11505","14259.5","14250","26200","30400","33300"
"37","University of Mobile",2,"9947","6766","0.4335","0.2174","0","0.25","1","NULL","0","0.3","0.4286","25000","20500","19450","36000","40000","38600"
"38","University of Montevallo",1,"7568","7972","0.4346","0.5714","0.5833","0.4","0.25","NULL","NULL","NULL","0.4054","15000","17000","15000","34600","36300","37700"
"39","Northwest-Shoals Community College",1,"1624","5099","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5000","4500","4250","26600","34000","38600"
"40","University of North Alabama",1,"6702","7218","0.4789","0.2143","0.4545","0.5","0.3","NULL","0.5769","0.5417","0.0647","12000","13405","13552","36800","40700","41800"
"41","Northeast Alabama Community College",1,"1845","5637","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3500","3475","4650","29200","PrivacySuppressed","PrivacySuppressed"
"42","Oakwood University",2,"11693","7701","NULL","0.4363","0","NULL","1","NULL","NULL","0.6667","0.2","22750","24500","24250","35500","39200","42700"
"43","Alabama Southern Community College",1,"1528","5962","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","26400","PrivacySuppressed","PrivacySuppressed"
"44","Prince Institute-Southeast",3,"24156","9188","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13863","18012","16693","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"45","Reid State Technical College",1,"1888","9032","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","23400","PrivacySuppressed","PrivacySuppressed"
"46","Bishop State Community College",1,"1494","5895","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","25300","PrivacySuppressed","PrivacySuppressed"
"47","Samford University",2,"18352","14553","0.6721","0.5306","0.5714","0.6667","0.75","NULL","0","0.6","0.8","18750","18123.5","15674.5","66000","63100","49200"
"48","Selma University",2,"7596","6907","0","0.221","0","NULL","NULL","NULL","NULL","NULL","0.3333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"49","Shelton State Community College",1,"2132","4615","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","27400","PrivacySuppressed","PrivacySuppressed"
"50","Snead State Community College",1,"2171","3230","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3500","3500","3955","26500","PrivacySuppressed","PrivacySuppressed"
"51","University of South Alabama",1,"7295","10870","0.4038","0.2917","0.4048","0.4815","0.2143","1","0.2857","0.4667","0.3269","13000","14000","12500","43100","43800","46200"
"52","Spring Hill College",2,"12082","7460","0.6325","0.4138","0.7","0.75","0.5","NULL","NULL","NULL","0.3846","21750","20500","20000","44600","47100","53000"
"53","Southeastern Bible College",2,"10634","4617","0.25","0","NULL","NULL","NULL","NULL","NULL","0","0.3333","19582","20275","19000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"54","Stillman College",2,"21345","9567","0.2","0.2051","0","NULL","NULL","NULL","NULL","0","NULL","16200","17500","9500","25400","30900","34400"
"55","Talladega College",2,"18039","8739","0","0.4976","0.087","NULL","NULL","NULL","NULL","NULL","NULL","14250","19521","23125","26500","PrivacySuppressed","PrivacySuppressed"
"56","H Councill Trenholm State Community College",1,"2493","8227","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","25700","PrivacySuppressed","PrivacySuppressed"
"57","Troy University",1,"8632","5643","0.4271","0.2434","0.4828","0.375","0.1364","NULL","0.7059","0.1978","0.3704","14250","15558","13824","34700","42300","44300"
"58","Tuskegee University",2,"14104","14344","0","0.4812","1","NULL","NULL","NULL","NULL","0","0.3077","21000","23500","19625","37500","43400","46300"
"59","United States Sports Academy",2,"14687","3335","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9950","11323.5","9157","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"60","Bevill State Community College",1,"1961","6554","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","27900","PrivacySuppressed","PrivacySuppressed"
"61","University of Alaska Anchorage",1,"5843","10594","0.3015","0.1087","0.2206","0.2756","0.061","NULL","NULL","0.5455","0.1948","11000","10500","8250","42700","48300","51700"
"62","Alaska Bible College",2,"8132","9585","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"63","University of Alaska Fairbanks",1,"6491","16892","0.3914","0.2667","0.3125","0.2778","0.1139","0","NULL","0.7143","0.3284","11000","11000","8312.5","37300","44200","47100"
"64","University of Alaska Southeast",1,"6117","12814","0.2208","NULL","0.1667","0.0769","0.1087","NULL","NULL","NULL","0.1667","11251","10500","7550","34300","44000","42900"
"65","Alaska Pacific University",2,"13383","11261","0.6863","0","0","0","NULL","NULL","1","NULL","0","18000","19924","18750","PrivacySuppressed","53300","PrivacySuppressed"
"66","AVTEC-Alaska's Institute of Technology",1,"4340","21957","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9055","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"67","Charter College-Anchorage",3,"8755","2617","0.4912","0.2642","0.5806","0.3056","0.2933","0.3333","0.5","NULL","0.5517","10500","9500","9500","33000","48100","55900"
"68","Alaska Career College",3,"11905","4178","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8423","7199","6156","28200","PrivacySuppressed","PrivacySuppressed"
"69","Everest College-Phoenix",3,"13130","7785","0.3062","0.2067","0.457","0.4231","0.3553","0","0.1429","1","0.2968","9186","9500","9500","28100","PrivacySuppressed","PrivacySuppressed"
"70","Collins College",3,"33714","15126","0.5128","0.4","0.383","0.4286","0.24","NULL","0.25","NULL","0.4528","33631","41000","36126","25500","33000","38200"
"71","Empire Beauty School-Paradise Valley",3,"8183","13914","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8470.5","7350","6222","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"72","Empire Beauty School-Tucson",3,"8029","6111","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7452","8100","8044","20000","PrivacySuppressed","PrivacySuppressed"
"73","Thunderbird School of Global Management",2,"71514","55110","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"74","American Indian College Inc",2,"3313","8378","0.5","NULL","NULL","NULL","0.1538","0","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"75","American Institute of Technology",3,"7854","5458","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6030","6083.5","3666","29300","35700","37800"
"76","Carrington College-Phoenix",3,"13638","3582","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9499","9500","9500","24800","31400","32600"
"77","Carrington College-Mesa",3,"14755","6542","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9499","9500","9500","24800","31400","32600"
"78","Carrington College-Tucson",3,"13497","2581","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9499","9500","9500","24800","31400","32600"
"79","CollegeAmerica-Flagstaff",2,"17541","3873","0.475","0.3333","0.7","NULL","0.438","NULL","1","NULL","0.25","15884.5","20000","17647","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"80","Arizona Academy of Beauty-East",3,"10287","6566","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"81","Arizona Automotive Institute",3,"17356","7086","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","9500","30800","39400","38200"
"82","Brookline College-Phoenix",3,"16664","6269","0.4277","0.3175","0.5718","0.6667","0.619","NULL","NULL","NULL","0.4444","9500","9500","9500","22100","27700","35300"
"83","Arizona State University-Tempe",1,"12460","9671","0.6394","0.4916","0.6079","0.7317","0.3571","NULL","NULL","0.6831","0.7","15651","15522.5","14590","49000","52800","54500"
"84","Arizona Western College",1,"679","5285","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4750","3500","2750","29700","PrivacySuppressed","PrivacySuppressed"
"85","University of Arizona",1,"12441","12071","0.6194","0.4523","0.5421","0.6997","0.3","0.8333","0.6084","0.7047","0.6","13500","13654","13000","50000","52000","57100"
"86","Southwest University of Visual Arts-Tucson",3,"19099","2963","1","0","1","NULL","NULL","NULL","NULL","NULL","1","40000","34500","32537","28800","32700","34300"
"87","Central Arizona College",1,"1192","6512","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4956.5","5882","5500","28700","32500","41600"
"88","Brown Mackie College-Tucson",3,"10380","3883","0.3488","0.2727","0.32","0","0.1429","NULL","NULL","NULL","0.5","11093.5","14326","13000","27700","PrivacySuppressed","PrivacySuppressed"
