"","INSTNM","CONTROL","TUITFTE","INEXPFTE","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_earnings_high_low","gap_earnings_high_mid","gap_earnings_mid_low"
"230","Alliant International University-San Diego",2,17614,8800,59200,62900,61900,0.0436187399030695,-0.0161550888529887,0.0588235294117647
"231","California State University-Bakersfield",1,2882,6431,44500,50400,51800,0.140926640926641,0.027027027027027,0.117063492063492
"232","California State University-Stanislaus",1,4697,8321,44200,45000,47700,0.0733752620545073,0.0566037735849057,0.0177777777777778
"233","California State University-San Bernardino",1,4359,6809,44500,47300,48500,0.0824742268041237,0.0247422680412371,0.0591966173361522
"234","California State Polytechnic University-Pomona",1,4552,7308,53300,54500,57500,0.0730434782608696,0.0521739130434783,0.0220183486238532
"235","California State University-Chico",1,4966,6913,47700,49200,54700,0.127970749542962,0.10054844606947,0.0304878048780488
"236","California State University-Dominguez Hills",1,5053,6715,42700,46600,56300,0.241563055062167,0.172291296625222,0.0836909871244635
"237","California State University-Fresno",1,3810,6613,44700,46900,51000,0.123529411764706,0.0803921568627451,0.046908315565032
"238","California State University-Fullerton",1,5984,7739,47300,51400,49400,0.0425101214574899,-0.0404858299595142,0.0797665369649805
"239","California State University-East Bay",1,6661,7087,52600,57900,58500,0.100854700854701,0.0102564102564103,0.0915371329879102
"240","California State University-Long Beach",1,5325,7681,49800,50900,51200,0.02734375,0.005859375,0.0216110019646365
"241","California State University-Los Angeles",1,4315,6587,44400,48200,53600,0.171641791044776,0.100746268656716,0.0788381742738589
"242","California State University-Northridge",1,6041,6730,46400,47200,49100,0.054989816700611,0.0386965376782077,0.0169491525423729
"243","California State University-Sacramento",1,5144,7426,48000,50300,53500,0.102803738317757,0.0598130841121495,0.0457256461232604
"244","University of California-Berkeley",1,17867,18988,73000,72500,76800,0.0494791666666667,0.0559895833333333,-0.00689655172413793
"245","University of California-Davis",1,13468,22820,67200,66200,64600,-0.0402476780185759,-0.0247678018575851,-0.0151057401812689
"246","University of California-Irvine",1,13947,18713,60800,59200,61400,0.00977198697068404,0.0358306188925081,-0.027027027027027
"247","University of California-Los Angeles",1,15556,40020,73100,70000,74500,0.0187919463087248,0.0604026845637584,-0.0442857142857143
"248","University of California-Riverside",1,12326,10948,50300,51000,52400,0.0400763358778626,0.0267175572519084,0.0137254901960784
"249","University of California-San Diego",1,14857,24195,70400,68300,69400,-0.0144092219020173,0.015850144092219,-0.0307467057101025
"251","University of California-Santa Barbara",1,13281,11314,56800,56700,60100,0.0549084858569052,0.0565723793677205,-0.0017636684303351
"252","University of California-Santa Cruz",1,11623,8835,46800,48600,51400,0.0894941634241245,0.0544747081712062,0.037037037037037
"256","Le Cordon Bleu College of Culinary Arts-San Francisco",3,9328,7026,36000,39000,45800,0.213973799126638,0.148471615720524,0.0769230769230769
"258","California Institute of the Arts",2,29456,21618,52000,41700,43300,-0.200923787528868,0.0369515011547344,-0.247002398081535
"262","College of the Canyons",1,931,4541,41500,46100,43600,0.0481651376146789,-0.0573394495412844,0.0997830802603037
"271","Cerritos College",1,700,5301,33500,37900,42300,0.208037825059102,0.104018912529551,0.116094986807388
"274","Chaffey College",1,797,4268,33300,34900,44000,0.243181818181818,0.206818181818182,0.0458452722063037
"275","Chapman University",2,25520,14025,47300,53100,55600,0.149280575539568,0.0449640287769784,0.109227871939736
"277","Concordia University-Irvine",2,12439,5536,49400,48800,46300,-0.0669546436285097,-0.0539956803455724,-0.0122950819672131
"278","San Diego Christian College",2,18695,7034,36000,41400,33500,-0.0746268656716418,-0.235820895522388,0.130434782608696
"282","City College of San Francisco",1,1415,7752,41700,45500,54600,0.236263736263736,0.166666666666667,0.0835164835164835
"285","Milan Institute-Visalia",3,7495,2319,23000,31300,35100,0.344729344729345,0.108262108262108,0.26517571884984
"289","Coleman University",2,10324,2769,44600,49600,47700,0.0649895178197065,-0.039832285115304,0.100806451612903
"298","Cuesta College",1,1101,4817,35700,43300,49600,0.280241935483871,0.127016129032258,0.175519630484988
"301","De Anza College",1,1689,4273,48600,49000,49500,0.0181818181818182,0.0101010101010101,0.00816326530612245
"306","Design Institute of San Diego",3,18917,3299,30000,45000,38800,0.22680412371134,-0.15979381443299,0.333333333333333
"308","Dominican University of California",2,22713,14391,55700,58300,61100,0.088379705400982,0.0458265139116203,0.0445969125214408
"317","Empire College",3,13509,4867,32400,31400,36900,0.121951219512195,0.149051490514905,-0.0318471337579618
"319","Fashion Institute of Design & Merchandising-Los Angeles",3,27199,8393,40100,43300,42000,0.0452380952380952,-0.030952380952381,0.0739030023094688
"320","Fashion Institute of Design & Merchandising-San Francisco",3,30042,9270,40100,43300,42000,0.0452380952380952,-0.030952380952381,0.0739030023094688
"321","Fashion Institute of Design & Merchandising-Orange County",3,24327,7507,40100,43300,42000,0.0452380952380952,-0.030952380952381,0.0739030023094688
"330","Fresno City College",1,422,3954,29200,36100,40100,0.271820448877805,0.0997506234413965,0.191135734072022
"331","Fresno Pacific University",2,13869,6076,36600,41600,45700,0.199124726477024,0.0897155361050328,0.120192307692308
"333","Fullerton College",1,788,3874,35400,40000,49200,0.280487804878049,0.186991869918699,0.115
"335","Gemological Institute of America-Carlsbad",2,16886,9665,43600,41800,50300,0.133200795228628,0.168986083499006,-0.0430622009569378
"337","Glendale Career College",3,10275,4127,27900,40400,41200,0.322815533980583,0.0194174757281553,0.309405940594059
"338","Golden Gate University-San Francisco",2,21868,9078,71100,72600,89300,0.203807390817469,0.187010078387458,0.0206611570247934
"341","Grossmont College",1,480,4010,35900,41100,45400,0.209251101321586,0.0947136563876652,0.126520681265207
"345","Heald College-Rancho Cordova",3,14327,3112,31600,40800,41600,0.240384615384615,0.0192307692307692,0.225490196078431
"346","Heald College-Fresno",3,14389,2555,29200,35600,37700,0.225464190981432,0.0557029177718833,0.179775280898876
"347","Heald College-San Jose",3,13918,2255,37800,44400,52000,0.273076923076923,0.146153846153846,0.148648648648649
"348","Heald College-San Francisco",3,14629,3552,35100,42000,43600,0.194954128440367,0.036697247706422,0.164285714285714
"349","Heald College-Concord",3,14431,3409,34900,45100,49900,0.30060120240481,0.0961923847695391,0.226164079822616
"351","Holy Names University",2,17558,8413,41100,48100,72800,0.43543956043956,0.339285714285714,0.145530145530146
"353","Humboldt State University",1,4825,8376,37800,37500,41700,0.0935251798561151,0.100719424460432,-0.008
"356","Institute for Business and Technology",3,16256,3530,33100,41200,44700,0.259507829977629,0.0782997762863535,0.196601941747573
"360","ITT Technical Institute-National City",3,17913,1702,38200,46300,47200,0.190677966101695,0.0190677966101695,0.174946004319654
"361","ITT Technical Institute-San Dimas",3,15184,2040,38200,46300,47200,0.190677966101695,0.0190677966101695,0.174946004319654
"362","ITT Technical Institute-Orange",3,17600,1951,38200,46300,47200,0.190677966101695,0.0190677966101695,0.174946004319654
"366","Reedley College",1,486,3877,26800,33300,41800,0.358851674641148,0.203349282296651,0.195195195195195
"367","Life Pacific College",2,9442,3228,31600,37000,31800,0.00628930817610063,-0.163522012578616,0.145945945945946
"368","Argosy University-The Art Institute of California-San Diego",3,9861,4730,40500,41300,42800,0.0537383177570093,0.0350467289719626,0.0193704600484262
"369","University of La Verne",2,14914,6518,47000,53100,61500,0.235772357723577,0.136585365853659,0.114877589453861
"378","La Sierra University",2,28202,11966,41800,46100,50800,0.177165354330709,0.0925196850393701,0.0932754880694143
"379","Loma Linda University",2,31045,25295,97500,79100,74200,-0.314016172506739,-0.0660377358490566,-0.232616940581542
"380","Long Beach City College",1,565,4117,30300,37400,47500,0.362105263157895,0.212631578947368,0.189839572192513
"387","The Master's College and Seminary",2,13518,7546,50700,43200,49800,-0.0180722891566265,0.132530120481928,-0.173611111111111
"392","Argosy University-The Art Institute of California-San Francisco",3,15514,6223,40500,41300,42800,0.0537383177570093,0.0350467289719626,0.0193704600484262
"393","Loyola Marymount University",2,29570,15175,74000,58100,62000,-0.193548387096774,0.0629032258064516,-0.273666092943201
"400","MTI College",3,11191,2370,32200,37300,46800,0.311965811965812,0.202991452991453,0.136729222520107
"402","Brightwood College-San Diego",3,11735,4584,34900,42500,49700,0.297786720321932,0.144869215291751,0.178823529411765
"403","Brightwood College-Vista",3,9023,2974,29700,33800,42200,0.296208530805687,0.199052132701422,0.121301775147929
"406","Marymount California University",2,22264,8062,39700,37800,39900,0.0050125313283208,0.0526315789473684,-0.0502645502645503
"408","Menlo College",2,18268,7655,42600,71500,55300,0.229656419529837,-0.292947558770344,0.404195804195804
"411","Mills College",2,19224,15534,42200,51800,47300,0.107822410147992,-0.0951374207188161,0.185328185328185
"416","Brightwood College-North Hollywood",3,8656,3148,35200,46500,50000,0.296,0.07,0.243010752688172
"419","Middlebury Institute of International Studies at Monterey",2,12192,6993,61500,66000,80800,0.238861386138614,0.183168316831683,0.0681818181818182
"422","Mt San Antonio College",1,849,5827,37900,41600,41800,0.0933014354066986,0.00478468899521531,0.0889423076923077
"423","Mount Saint Mary's University",2,22593,9347,49900,58100,65500,0.238167938931298,0.112977099236641,0.141135972461274
"426","Musicians Institute",3,23399,9586,30100,35600,34000,0.114705882352941,-0.0470588235294118,0.154494382022472
"428","Everest College-Reseda",3,10084,4356,27500,34500,35400,0.22316384180791,0.0254237288135593,0.202898550724638
"429","Everest College-Gardena",3,9459,4939,25000,30200,34500,0.27536231884058,0.12463768115942,0.172185430463576
"430","Everest College-Alhambra",3,9567,4377,25100,30100,33900,0.259587020648968,0.112094395280236,0.166112956810631
"431","Everest College-San Bernardino",3,9938,4321,22900,27000,28600,0.199300699300699,0.0559440559440559,0.151851851851852
"433","National Holistic Institute",3,19954,9484,28900,41400,43500,0.335632183908046,0.0482758620689655,0.301932367149758
"434","National University",2,8682,3197,47800,57100,67000,0.286567164179104,0.147761194029851,0.162872154115587
"441","Notre Dame de Namur University",2,18929,7045,43900,60600,55600,0.210431654676259,-0.0899280575539568,0.275577557755776
"442","Occidental College",2,25220,17405,53600,54100,55600,0.0359712230215827,0.026978417266187,0.00924214417744917
"445","Orange Coast College",1,984,3503,40500,41900,54500,0.256880733944954,0.231192660550459,0.0334128878281623
"446","Otis College of Art and Design",2,27323,14922,47900,49400,57700,0.169844020797227,0.143847487001733,0.0303643724696356
"448","Hope International University",2,10009,6137,34900,40600,45900,0.239651416122004,0.115468409586057,0.140394088669951
"455","Pacific Union College",2,16683,10227,48700,53300,58000,0.160344827586207,0.0810344827586207,0.0863039399624766
"456","University of the Pacific",2,30355,18824,89900,76500,72100,-0.246879334257975,-0.0610263522884882,-0.17516339869281
"460","Pasadena City College",1,1337,4364,36900,38600,48000,0.23125,0.195833333333333,0.0440414507772021
"461","Pepperdine University",2,26889,11639,74100,69400,71000,-0.0436619718309859,0.0225352112676056,-0.0677233429394813
"464","Point Loma Nazarene University",2,19120,8862,48200,49200,55200,0.126811594202899,0.108695652173913,0.0203252032520325
"472","University of Redlands",2,17893,9254,50100,56300,58800,0.147959183673469,0.0425170068027211,0.1101243339254
"473","College of the Redwoods",1,772,6030,28400,35800,41800,0.320574162679426,0.143540669856459,0.206703910614525
"477","Riverside City College",1,791,4440,33200,38400,37800,0.121693121693122,-0.0158730158730159,0.135416666666667
"478","Argosy University-San Francisco Bay Area",3,12380,6663,40500,41300,42800,0.0537383177570093,0.0350467289719626,0.0193704600484262
"484","Samuel Merritt University",2,28399,15669,116100,112300,107400,-0.0810055865921788,-0.0456238361266294,-0.0338379341050757
"486","Golf Academy of America-Carlsbad",3,17383,4212,25700,34500,38500,0.332467532467532,0.103896103896104,0.255072463768116
"487","San Diego Mesa College",1,419,4558,39700,39900,46500,0.146236559139785,0.141935483870968,0.0050125313283208
"489","San Diego State University",1,6721,6812,49000,52100,56300,0.129662522202487,0.0746003552397869,0.0595009596928983
"490","University of San Diego",2,27197,13897,68600,67000,64600,-0.0619195046439628,-0.0371517027863777,-0.0238805970149254
"493","San Francisco State University",1,6348,8331,50300,53500,53500,0.0598130841121495,0,0.0598130841121495
"495","University of San Francisco",2,27427,15387,63900,67300,75700,0.155878467635403,0.110964332892999,0.050520059435364
"497","San Joaquin Delta College",1,460,4080,33500,36100,42100,0.204275534441805,0.142517814726841,0.07202216066482
"498","San Joaquin Valley College-Visalia",3,9816,4866,28600,34300,42000,0.319047619047619,0.183333333333333,0.166180758017493
"501","San Jose State University",1,7716,8357,59700,60900,60400,0.0115894039735099,-0.00827814569536424,0.0197044334975369
"504","Westwood College-Los Angeles",3,14396,3313,29600,37200,39400,0.248730964467005,0.0558375634517767,0.204301075268817
"506","Santa Barbara City College",1,1857,5812,36200,42100,47300,0.234672304439746,0.109936575052854,0.140142517814727
"507","Santa Clara University",2,22800,12668,84600,79000,77800,-0.0874035989717224,-0.0154241645244216,-0.0708860759493671
"512","Wyotech-Fremont",3,8433,4220,36600,44800,48700,0.248459958932238,0.080082135523614,0.183035714285714
"515","Shasta College",1,779,3837,27600,36900,48600,0.432098765432099,0.240740740740741,0.252032520325203
"516","Sierra College",1,1054,3734,32400,39700,44800,0.276785714285714,0.113839285714286,0.183879093198992
"519","Trinity Law School",2,17951,5335,40700,47200,43800,0.0707762557077626,-0.0776255707762557,0.13771186440678
"520","Simpson University",2,13361,6351,33100,39400,40000,0.1725,0.015,0.15989847715736
"525","Saint Mary's College of California",2,23532,12896,51600,64600,78200,0.340153452685422,0.173913043478261,0.201238390092879
"527","Sonoma State University",1,6952,7664,47000,48800,52200,0.0996168582375479,0.0651340996168582,0.0368852459016393
"531","Vanguard University of Southern California",2,15711,6750,41000,42600,47700,0.140461215932914,0.106918238993711,0.0375586854460094
"532","Concorde Career College-Garden Grove",3,13757,6918,35400,41600,49100,0.279022403258656,0.152749490835031,0.149038461538462
"537","University of Southern California",2,30675,43170,91300,78100,73400,-0.243869209809264,-0.0640326975476839,-0.169014084507042
"544","United Education Institute-Huntington Park Campus",3,8130,3960,25200,30500,33300,0.243243243243243,0.0840840840840841,0.173770491803279
"545","Concorde Career College-San Bernardino",3,13469,6310,27100,33000,38300,0.29242819843342,0.138381201044386,0.178787878787879
"547","Concorde Career College-North Hollywood",3,13257,6531,39400,45100,49900,0.210420841683367,0.0961923847695391,0.126385809312639
"550","Victor Valley College",1,394,5111,30100,37200,46300,0.349892008639309,0.196544276457883,0.190860215053763
"557","Carrington College-Sacramento",3,15742,5183,28200,36600,34900,0.191977077363897,-0.0487106017191977,0.229508196721311
"560","Whittier College",2,24728,11796,45600,47600,49800,0.0843373493975904,0.0441767068273092,0.0420168067226891
"561","Woodbury University",2,19323,11338,44200,53600,55100,0.197822141560799,0.0272232304900181,0.175373134328358
"563","Western State College of Law at Argosy University",3,26427,12470,40500,41300,42800,0.0537383177570093,0.0350467289719626,0.0193704600484262
"568","Adams State University",1,6568,8399,34900,38300,40600,0.140394088669951,0.0566502463054187,0.0887728459530026
"569","Aims Community College",1,2981,7641,30100,38700,41200,0.269417475728155,0.0606796116504854,0.222222222222222
"570","Arapahoe Community College",1,4555,3733,34500,41500,45100,0.235033259423503,0.0798226164079823,0.168674698795181
"571","Bel-Rea Institute of Animal Technology",3,6473,3395,26800,31800,32400,0.172839506172839,0.0185185185185185,0.157232704402516
"572","Everest College-Colorado Springs",3,10363,4801,23700,30300,32300,0.26625386996904,0.0619195046439628,0.217821782178218
"573","University of Colorado Denver/Anschutz Medical Campus",1,13347,26708,72600,76100,85800,0.153846153846154,0.113053613053613,0.0459921156373193
"574","University of Colorado Colorado Springs",1,10048,7093,44800,42800,47600,0.0588235294117647,0.100840336134454,-0.0467289719626168
"575","Redstone College",3,12664,4592,43900,45600,49100,0.105906313645621,0.0712830957230143,0.037280701754386
"576","University of Colorado Boulder",1,17532,14987,52300,54700,57900,0.0967184801381693,0.0552677029360967,0.0438756855575868
"577","Colorado Christian University",2,13179,3354,32900,44600,44800,0.265625,0.00446428571428571,0.262331838565022
"578","Colorado College",2,28609,21002,46800,42600,50900,0.0805500982318271,0.163064833005894,-0.0985915492957746
"579","Concorde Career College-Aurora",3,13623,7365,25300,38600,40400,0.373762376237624,0.0445544554455446,0.344559585492228
"580","The Art Institute of Colorado",3,14763,4820,33800,37400,40000,0.155,0.065,0.0962566844919786
